,sweet,sour,bitter,alc,sparking
0,3,4,2,30,0
1,3,0,2,11,0
2,4,4,4,32,0
3,3,0,1,5,4
4,2,3,3,24,0
5,4,3,1,30,0
6,5,2,0,9,0
7,3,2,1,28,0
8,5,0,0,13,0
9,4,3,2,21,0
10,1,1,4,30,0
11,1,4,4,35,0
12,4,0,3,23,0
13,2,0,4,37,0
14,3,3,2,27,0
15,4,2,0,15,0
16,5,2,0,0,0
17,4,2,0,9,0
18,5,0,0,16,0
19,2,3,2,20,0
20,4,5,0,10,0
21,3,5,3,32,0
22,1,3,5,37,0
23,5,0,2,5,0
24,2,0,4,28,0
25,3,3,3,27,0
26,2,3,4,34,0
27,3,2,0,15,3
28,0,0,3,4,3
29,2,5,3,22,1
30,5,2,1,14,0
31,4,4,2,15,5
32,5,2,0,10,2
33,3,1,2,35,0
34,1,1,4,40,0
35,4,3,0,16,2
36,3,1,3,3,2
37,3,5,2,21,0
38,5,2,0,6,0
39,3,0,2,29,4
40,2,3,2,17,0
41,3,3,2,30,0
42,0,0,5,37,0
43,4,3,0,20,0
44,2,1,3,33,0
45,2,0,4,19,0
46,3,3,3,14,3
47,3,2,1,25,0
48,3,1,0,19,4
49,2,5,0,0,4
50,5,4,0,14,3
51,2,4,2,4,0
52,1,0,5,40,0
53,2,0,3,45,0
54,4,2,0,12,0
55,3,3,0,15,2
56,5,1,2,33,0
57,4,2,1,13,0
58,3,4,0,0,0
59,1,0,2,4,4
60,5,0,0,5,0
61,4,0,0,30,0
62,3,2,2,31,0
63,2,1,4,32,0
64,4,2,2,24,0
65,3,4,3,37,0
66,4,2,2,15,0
67,4,0,3,33,0
68,1,0,4,10,2
69,2,2,2,13,0
70,4,2,0,10,4
71,4,2,0,20,0
72,4,3,0,5,4
73,2,4,2,15,0
74,4,3,3,40,0
75,4,5,2,22,0
76,2,0,5,19,0
77,1,0,3,4,2
78,3,5,0,0,0
79,3,2,1,22,5
80,5,3,0,14,0
81,4,1,0,0,5
82,0,0,4,10,3
83,2,4,1,15,0
84,4,3,0,5,3
85,4,3,0,14,0
86,4,3,1,13,0
87,2,1,2,28,0
88,2,4,1,10,4
89,4,4,0,8,0
90,3,5,0,0,0
91,1,4,5,40,0
92,1,0,4,10,0
93,3,0,0,25,0
94,3,3,1,11,0
95,3,2,4,9,4
96,3,1,3,42,0
97,3,0,2,20,0
98,2,1,4,42,0
99,4,4,1,35,0
100,0,1,4,24,0
101,5,0,0,14,0
102,3,0,4,22,0
103,4,2,1,15,0
104,3,1,2,27,0
105,3,3,2,20,1
106,4,2,1,10,4
107,4,3,0,18,0
108,5,0,0,22,0
109,5,1,0,6,0
110,2,1,5,24,0
111,1,1,3,26,0
112,4,2,1,21,0
113,5,5,2,13,0
114,0,0,5,13,0
115,2,0,2,18,3
116,5,3,2,31,0
117,5,1,0,7,0
118,3,4,1,14,3
119,1,2,4,23,0
120,3,0,0,13,5
121,3,5,1,13,4
122,2,4,0,19,0
123,4,2,0,8,0
124,0,4,3,40,0
125,2,2,5,48,0
126,4,3,1,26,0
127,1,3,5,17,0
128,2,2,2,19,0
129,4,2,0,12,5
130,5,0,0,19,0
131,4,0,2,5,5
132,5,0,4,48,0
133,5,1,0,15,5
134,1,4,1,18,3
135,3,3,0,5,0
136,1,2,4,28,0
137,3,3,2,17,0
138,5,1,0,10,0
139,3,0,2,27,0
140,4,0,0,5,0
141,4,3,0,18,0
142,3,3,1,14,0
143,4,2,1,15,0
144,2,4,2,17,0
145,5,3,0,4,0
146,3,1,0,26,0
147,3,4,2,15,0
148,3,3,2,17,3
149,0,0,5,20,0
150,4,2,3,26,0
151,3,3,0,26,0
152,2,4,3,18,0
153,2,4,1,12,0
154,3,4,2,30,0
155,3,3,4,28,0
156,4,3,3,26,0
157,1,0,5,32,0
158,0,2,3,16,0
159,5,4,0,0,0
160,4,4,0,0,3
161,5,4,0,0,2
162,4,2,1,15,0
163,4,4,0,3,0
164,5,2,0,5,0
165,3,3,1,25,0
166,4,4,2,14,0
167,5,1,0,0,0
168,4,3,0,7,0
169,3,3,2,25,0
170,5,2,1,25,0
171,5,3,1,10,0
172,4,3,1,5,0
173,5,3,2,28,5
174,4,3,2,28,5
175,4,0,1,20,0
176,5,0,1,38,0
177,4,4,0,30,0
178,5,3,0,18,5
179,3,0,3,35,0
180,2,5,1,14,5
181,3,3,0,10,0
182,5,4,0,0,0
183,4,4,0,10,0
184,3,0,4,13,5
185,4,1,0,8,5
186,3,5,1,35,0
187,4,0,1,17,4
188,2,4,0,5,5
189,2,4,2,15,0
190,0,1,5,31,0
191,4,3,2,33,0
192,4,5,4,32,0
193,1,0,3,12,0
194,4,5,2,19,0
195,2,5,4,6,0
196,4,4,2,11,3
197,3,5,1,12,4
198,4,4,2,26,0
199,2,4,3,14,4
200,3,4,1,13,5
201,4,5,0,0,3
202,4,5,0,0,0
203,4,4,0,0,5
204,5,2,2,21,0
205,3,1,2,20,3
206,3,4,2,17,2
207,3,3,1,5,2
208,4,3,1,7,0
209,3,1,4,14,4
210,3,5,2,18,0
211,2,5,3,30,0
212,5,4,2,15,0
213,1,5,3,20,4
214,4,5,2,20,0
215,3,0,2,5,5
216,3,3,1,13,0
217,4,3,1,8,0
218,4,4,0,0,0
