,cocktail_id,alc,sweet,sour,bitter,sparking
0,0,0,0,0,0,0
1,1,30,3,4,2,0
2,2,11,3,0,2,0
3,3,32,4,4,4,0
4,4,5,3,0,1,4
5,5,24,2,3,3,0
6,6,30,4,3,1,0
7,7,9,5,2,0,0
8,8,28,3,2,1,0
9,9,13,5,0,0,0
10,10,21,4,3,2,0
11,11,30,1,1,4,0
12,12,35,1,4,4,0
13,13,23,4,0,3,0
14,14,37,2,0,4,0
15,15,27,3,3,2,0
16,16,15,4,2,0,0
17,17,0,5,2,0,0
18,18,9,4,2,0,0
19,19,16,5,0,0,0
20,20,20,2,3,2,0
21,21,10,4,5,0,0
22,22,32,3,5,3,0
23,23,37,1,3,5,0
24,24,5,5,0,2,0
25,25,28,2,0,4,0
26,26,27,3,3,3,0
27,27,34,2,3,4,0
28,28,15,3,2,0,3
29,29,4,0,0,3,3
30,30,22,2,5,3,1
31,31,14,5,2,1,0
32,32,15,4,4,2,5
33,33,10,5,2,0,2
34,34,35,3,1,2,0
35,35,40,1,1,4,0
36,36,16,4,3,0,2
37,37,3,3,1,3,2
38,38,21,3,5,2,0
39,39,6,5,2,0,0
40,40,29,3,0,2,4
41,41,17,2,3,2,0
42,42,30,3,3,2,0
43,43,37,0,0,5,0
44,44,20,4,3,0,0
45,45,33,2,1,3,0
46,46,19,2,0,4,0
47,47,14,3,3,3,3
48,48,25,3,2,1,0
49,49,19,3,1,0,4
50,50,0,2,5,0,4
51,51,14,5,4,0,3
52,52,4,2,4,2,0
53,53,40,1,0,5,0
54,54,45,2,0,3,0
55,55,12,4,2,0,0
56,56,15,3,3,0,2
57,57,33,5,1,2,0
58,58,13,4,2,1,0
59,59,0,3,4,0,0
60,60,4,1,0,2,4
61,61,5,5,0,0,0
62,62,30,4,0,0,0
63,63,31,3,2,2,0
64,64,32,2,1,4,0
65,65,24,4,2,2,0
66,66,37,3,4,3,0
67,67,15,4,2,2,0
68,68,33,4,0,3,0
69,69,10,1,0,4,2
70,70,13,2,2,2,0
71,71,10,4,2,0,4
72,72,20,4,2,0,0
73,73,5,4,3,0,4
74,74,15,2,4,2,0
75,75,40,4,3,3,0
